"age","workclass","fnlwgt","education","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country"
42,"Local-gov",340148,"Some-college","Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States"
24,"Federal-gov",191073,"HS-grad","Never-married","Armed-Forces","Own-child","White","Male",0,0,40,"United-States"
58,"Private",180980,"Some-college","Divorced","Other-service","Unmarried","White","Female",0,0,42,"France"
28,"Private",85812,"Some-college","Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States"
26,"Private",108658,"HS-grad","Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States"
36,"Private",197202,"HS-grad","Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"United-States"
51,"Private",95469,"HS-grad","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
17,"Private",242718,"11th","Never-married","Sales","Own-child","White","Male",0,0,12,"United-States"
65,,195733,"Some-college","Married-civ-spouse",,"Husband","White","Male",0,0,30,"United-States"
32,"Private",239824,"Bachelors","Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"United-States"
19,"Private",217039,"Some-college","Never-married","Adm-clerical","Own-child","White","Male",0,0,28,"United-States"
39,"Private",207824,"HS-grad","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,60,"United-States"
29,"Private",34383,"Assoc-voc","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,55,"United-States"
34,"Private",106742,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States"
35,"Private",261293,"Masters","Never-married","Sales","Not-in-family","White","Male",0,0,60,"United-States"
43,"Local-gov",194360,"Masters","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,38,"United-States"
22,"Private",240817,"HS-grad","Never-married","Sales","Own-child","White","Female",2597,0,40,"United-States"
31,"Private",125457,"HS-grad","Never-married","Craft-repair","Not-in-family","White","Male",0,0,45,"United-States"
26,"Private",167350,"HS-grad","Never-married","Other-service","Other-relative","White","Male",0,0,30,"United-States"
31,"Private",243605,"Bachelors","Widowed","Sales","Unmarried","White","Female",0,1380,40,"Cuba"
21,"Private",163870,"Some-college","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States"
45,"Private",242552,"Some-college","Never-married","Sales","Not-in-family","Black","Male",0,0,40,"United-States"
36,"Private",70282,"Some-college","Divorced","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States"
50,"Local-gov",50459,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,42,"United-States"
23,"Private",352139,"Some-college","Never-married","Other-service","Not-in-family","White","Female",0,0,24,"United-States"
36,"Private",131414,"Some-college","Never-married","Sales","Not-in-family","Black","Female",0,0,36,"United-States"
29,"State-gov",356089,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,40,"United-States"
27,"Private",31757,"Assoc-voc","Never-married","Craft-repair","Own-child","White","Male",0,0,38,"United-States"
22,"Private",151790,"Some-college","Married-civ-spouse","Sales","Wife","White","Female",0,0,30,"Germany"
37,"Private",327323,"5th-6th","Separated","Farming-fishing","Not-in-family","White","Male",0,0,32,"Guatemala"
28,"Private",196690,"Assoc-voc","Never-married","Machine-op-inspct","Not-in-family","White","Female",0,1669,42,"United-States"
61,"Self-emp-not-inc",36671,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2352,50,"United-States"
18,"Private",231193,"12th","Never-married","Machine-op-inspct","Own-child","White","Male",0,0,30,"United-States"
46,"Private",90758,"Masters","Never-married","Tech-support","Not-in-family","White","Male",0,0,35,"United-States"
64,"Private",169871,"HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States"
32,"Private",110331,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1672,60,"United-States"
73,"Self-emp-not-inc",177387,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States"
25,"Private",499233,"HS-grad","Divorced","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States"
26,"Private",90980,"Assoc-voc","Divorced","Adm-clerical","Not-in-family","White","Female",0,0,55,"United-States"
34,"Private",111567,"HS-grad","Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States"
18,"Private",216284,"11th","Never-married","Adm-clerical","Own-child","White","Female",0,0,20,"United-States"
48,"Private",285335,"11th","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States"
28,"Self-emp-inc",142712,"Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"United-States"
24,"Private",121313,"Some-college","Never-married","Transport-moving","Own-child","White","Male",0,0,50,"United-States"
51,"Self-emp-not-inc",160724,"Bachelors","Married-civ-spouse","Sales","Husband","Asian-Pac-Islander","Male",0,2415,40,"China"
41,"Private",194636,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States"
37,"Private",183800,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,50,"United-States"
42,"Private",274198,"5th-6th","Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0,0,38,"Mexico"
36,"Private",526968,"10th","Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States"
28,"Private",57066,"HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States"
46,"Private",187370,"Bachelors","Never-married","Sales","Not-in-family","White","Male",0,1504,40,"United-States"
56,"Private",112840,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States"
50,"Private",168212,"Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,65,"United-States"
54,"Self-emp-not-inc",123011,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",15024,0,52,"United-States"
51,"Private",220537,"HS-grad","Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States"
38,"Private",173208,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,25,"United-States"
33,"Private",26973,"Assoc-voc","Married-civ-spouse","Tech-support","Wife","White","Female",0,0,40,"United-States"
22,"Private",122346,"HS-grad","Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
37,"Private",123785,"HS-grad","Never-married","Other-service","Not-in-family","White","Male",0,0,75,"United-States"
30,"Private",296453,"Bachelors","Married-civ-spouse","Adm-clerical","Husband","White","Male",7298,0,40,"United-States"
48,"State-gov",55863,"Doctorate","Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,46,"United-States"
32,"Private",118161,"HS-grad","Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States"
41,"Federal-gov",133060,"Assoc-acdm","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
31,"Private",51259,"Bachelors","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,47,"United-States"
41,"Private",118212,"Bachelors","Married-civ-spouse","Craft-repair","Husband","White","Male",3103,0,40,"United-States"
48,"Private",95244,"Some-college","Divorced","Other-service","Unmarried","Black","Female",0,0,35,"United-States"
42,,184018,"Some-college","Divorced",,"Unmarried","White","Male",0,0,40,"United-States"
33,"Private",354573,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,44,"United-States"
46,"Private",185041,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,50,"United-States"
24,,35633,"Some-college","Never-married",,"Not-in-family","White","Male",0,0,40,
24,"Local-gov",289886,"11th","Never-married","Other-service","Not-in-family","Asian-Pac-Islander","Male",0,0,45,"United-States"
50,,146015,"HS-grad","Married-civ-spouse",,"Husband","White","Male",0,0,40,"United-States"
28,"Private",444304,"Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States"
59,"Private",151616,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States"
44,"Private",344060,"Bachelors","Never-married","Other-service","Not-in-family","White","Male",0,0,40,"United-States"
63,,150389,"Bachelors","Widowed",,"Not-in-family","White","Female",0,0,40,"United-States"
31,"Private",106347,"11th","Separated","Other-service","Not-in-family","Black","Female",0,0,42,"United-States"
53,"Private",89534,"HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,48,"United-States"
47,"Private",200734,"Bachelors","Never-married","Exec-managerial","Unmarried","Black","Female",0,0,45,"United-States"
52,"Private",186785,"HS-grad","Never-married","Sales","Not-in-family","White","Male",0,1876,50,"United-States"
29,"Private",256956,"Assoc-voc","Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States"
45,"Federal-gov",283037,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States"
29,"Private",285290,"11th","Never-married","Other-service","Unmarried","Black","Female",0,0,40,"United-States"
40,"Private",240124,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States"
22,"Private",103440,"HS-grad","Never-married","Other-service","Not-in-family","White","Female",0,0,24,"United-States"
26,"Private",403788,"Assoc-acdm","Never-married","Other-service","Own-child","Black","Male",0,0,40,"United-States"
37,"Self-emp-not-inc",137314,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States"
45,"Private",127303,"Some-college","Never-married","Machine-op-inspct","Own-child","White","Male",0,0,45,"United-States"
40,"Self-emp-not-inc",266324,"Some-college","Divorced","Exec-managerial","Other-relative","White","Male",0,1564,70,"Iran"
24,"Private",241523,"HS-grad","Married-civ-spouse","Other-service","Husband","White","Male",0,0,45,"United-States"
48,"Private",329778,"HS-grad","Widowed","Other-service","Unmarried","White","Female",0,0,40,"United-States"
43,"Self-emp-inc",196945,"HS-grad","Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,78,"Thailand"
46,"Private",134727,"11th","Divorced","Machine-op-inspct","Unmarried","Amer-Indian-Eskimo","Male",0,0,43,"Germany"
45,"Self-emp-inc",36228,"Bachelors","Married-civ-spouse","Farming-fishing","Husband","White","Male",4386,0,35,"United-States"
19,"Private",213644,"HS-grad","Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States"
56,"Self-emp-not-inc",145574,"HS-grad","Married-civ-spouse","Other-service","Husband","White","Male",0,1902,60,"United-States"
50,"Private",30447,"Assoc-voc","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States"
25,"Private",298225,"HS-grad","Divorced","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States"
56,"Private",311249,"HS-grad","Widowed","Adm-clerical","Unmarried","Black","Female",0,0,38,"United-States"
76,,211453,"HS-grad","Widowed",,"Not-in-family","Black","Female",0,0,2,"United-States"
41,"Self-emp-inc",94113,"Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States"
48,"Self-emp-inc",192945,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,40,"United-States"
40,"Private",228535,"Assoc-acdm","Married-civ-spouse","Prof-specialty","Husband","White","Male",7298,0,36,"United-States"
69,"State-gov",208869,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,11,"United-States"
26,"Private",183077,"Assoc-voc","Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States"
58,"Private",255822,"Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
53,"Self-emp-inc",263925,"HS-grad","Married-civ-spouse","Sales","Husband","White","Male",99999,0,40,"United-States"
27,"Private",23940,"HS-grad","Never-married","Handlers-cleaners","Other-relative","Amer-Indian-Eskimo","Male",0,0,40,"United-States"
35,"Private",187119,"Bachelors","Divorced","Sales","Not-in-family","White","Female",0,1980,65,"United-States"
37,"Self-emp-inc",395831,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,80,"United-States"
42,"Private",245317,"HS-grad","Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States"
30,"Private",31985,"Some-college","Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States"
26,"Local-gov",166295,"Bachelors","Never-married","Prof-specialty","Not-in-family","White","Male",0,2339,55,"United-States"
47,"Private",232628,"HS-grad","Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States"
43,"Private",75742,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States"
59,"Local-gov",165695,"Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
18,"Private",208447,"12th","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,6,"United-States"
33,"Private",78707,"11th","Never-married","Other-service","Not-in-family","Black","Male",0,0,40,"United-States"
24,"Private",198148,"Some-college","Never-married","Other-service","Own-child","White","Male",0,0,30,"United-States"
24,"State-gov",147253,"Some-college","Never-married","Tech-support","Not-in-family","White","Male",0,0,50,"United-States"
72,,213255,"HS-grad","Widowed",,"Not-in-family","White","Female",0,0,8,"United-States"
23,"Private",121471,"Bachelors","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States"
67,"Private",318533,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,35,"United-States"
54,"Private",53833,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States"
26,"Private",161007,"Bachelors","Never-married","Adm-clerical","Own-child","White","Male",0,0,30,"United-States"
52,"Private",147876,"Bachelors","Married-civ-spouse","Sales","Wife","White","Female",15024,0,60,"United-States"
39,"Private",328466,"11th","Married-civ-spouse","Other-service","Husband","White","Male",2407,0,70,"Mexico"
52,"Private",158993,"HS-grad","Divorced","Other-service","Other-relative","Black","Female",0,0,38,"United-States"
46,"Private",99835,"Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States"
44,"Private",43711,"Assoc-acdm","Married-civ-spouse","Sales","Husband","White","Male",7688,0,40,"United-States"
64,,168340,"HS-grad","Married-civ-spouse",,"Husband","White","Male",0,0,40,
54,"Private",177927,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States"
22,,376277,"Some-college","Divorced",,"Not-in-family","White","Female",0,0,35,"United-States"
38,"Private",156728,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States"
44,"Private",303521,"Some-college","Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
64,"Self-emp-not-inc",134960,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,35,"United-States"
20,"Private",154781,"HS-grad","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States"
51,,167651,"HS-grad","Married-civ-spouse",,"Husband","White","Male",0,0,40,"United-States"
41,"Private",165309,"Bachelors","Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States"
32,"Private",195576,"11th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States"
35,"Local-gov",103260,"Masters","Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,35,"United-States"
45,"Private",166107,"Masters","Never-married","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"Philippines"
57,"Private",114495,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States"
22,"Self-emp-not-inc",202920,"HS-grad","Never-married","Prof-specialty","Unmarried","White","Female",99999,0,40,"Dominican-Republic"
19,"Private",286469,"Some-college","Never-married","Sales","Own-child","White","Female",0,0,30,"United-States"
70,"Private",30713,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,30,"United-States"
24,"Private",165054,"Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
24,"Private",282202,"HS-grad","Never-married","Other-service","Unmarried","White","Male",0,0,40,"El-Salvador"
68,"Self-emp-not-inc",197015,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,45,"United-States"
26,"Private",33610,"HS-grad","Divorced","Other-service","Other-relative","White","Male",0,0,40,"United-States"
41,"Self-emp-not-inc",66632,"Some-college","Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
90,"Private",221832,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States"
30,"Private",226013,"Bachelors","Never-married","Prof-specialty","Not-in-family","Black","Male",0,0,40,"United-States"
49,"Private",268022,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States"
40,"Private",121956,"Bachelors","Married-spouse-absent","Prof-specialty","Not-in-family","Asian-Pac-Islander","Male",13550,0,40,"Cambodia"
66,"Self-emp-not-inc",293114,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",1409,0,40,"United-States"
23,"Private",193089,"11th","Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States"
47,"Private",185465,"HS-grad","Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States"
53,"Private",166368,"Some-college","Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
47,"Private",85129,"HS-grad","Divorced","Other-service","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"United-States"
32,"Private",549430,"HS-grad","Never-married","Priv-house-serv","Unmarried","White","Female",0,0,40,"Mexico"
37,"Private",86150,"Bachelors","Married-civ-spouse","Other-service","Wife","Asian-Pac-Islander","Female",0,0,30,"United-States"
19,"Private",125010,"HS-grad","Never-married","Farming-fishing","Own-child","White","Male",0,0,45,"United-States"
51,"Self-emp-inc",208302,"Assoc-acdm","Married-civ-spouse","Sales","Husband","White","Male",0,0,38,"United-States"
31,"Federal-gov",207301,"HS-grad","Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States"
42,"Private",33521,"Assoc-acdm","Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States"
52,"Private",266529,"Some-college","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States"
24,"Private",109307,"HS-grad","Never-married","Sales","Own-child","White","Male",0,0,45,"United-States"
46,"Private",105444,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States"
33,"Private",125249,"HS-grad","Separated","Protective-serv","Own-child","White","Female",0,0,40,"United-States"
41,"Private",222142,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States"
47,"Self-emp-not-inc",77102,"Masters","Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States"
32,"Private",157287,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States"
65,"Private",90377,"Assoc-voc","Married-civ-spouse","Farming-fishing","Husband","White","Male",6767,0,60,"United-States"
36,"Private",127306,"Bachelors","Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States"
37,"State-gov",160402,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States"
48,"Private",119565,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
23,"Private",196827,"Some-college","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1902,40,"United-States"
42,"Private",225193,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
23,"Private",87528,"Bachelors","Never-married","Sales","Not-in-family","White","Female",0,0,45,"United-States"
34,"Private",268051,"Some-college","Married-civ-spouse","Protective-serv","Other-relative","Black","Female",0,0,25,"Haiti"
18,"Private",201901,"HS-grad","Never-married","Handlers-cleaners","Own-child","White","Female",0,1719,15,"United-States"
41,"Self-emp-not-inc",129865,"HS-grad","Married-civ-spouse","Other-service","Husband","White","Male",0,0,60,"United-States"
42,"Private",27444,"Some-college","Married-spouse-absent","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States"
58,"Private",131608,"Some-college","Widowed","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
45,"Local-gov",238386,"Some-college","Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States"
25,,41107,"Bachelors","Married-spouse-absent",,"Not-in-family","White","Male",0,0,40,"Canada"
32,"Private",236770,"Some-college","Divorced","Sales","Not-in-family","White","Male",0,0,50,"United-States"
32,"Private",235124,"Assoc-voc","Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States"
51,"Private",191659,"Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,65,"United-States"
36,"Private",116358,"Masters","Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,40,"Taiwan"
29,"Private",214858,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States"
22,,217421,"Some-college","Never-married",,"Own-child","White","Female",0,0,30,"United-States"
67,,184506,"11th","Married-civ-spouse",,"Husband","White","Male",0,419,3,"United-States"
20,"Private",242077,"HS-grad","Divorced","Sales","Not-in-family","Black","Female",0,0,40,"United-States"
17,"Private",317681,"11th","Never-married","Craft-repair","Own-child","White","Male",0,0,10,"United-States"
33,"Self-emp-not-inc",312055,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States"
27,"Private",200500,"7th-8th","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States"
18,"Private",343059,"Some-college","Never-married","Sales","Own-child","White","Female",0,0,40,"United-States"
70,"Private",131060,"7th-8th","Married-civ-spouse","Other-service","Husband","White","Male",0,0,25,"United-States"
34,"Private",160449,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,44,"United-States"
35,"Private",172845,"Assoc-voc","Never-married","Other-service","Unmarried","White","Female",0,0,30,"United-States"
37,"Private",291251,"HS-grad","Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States"
32,"Private",123429,"10th","Separated","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
