"BsmtFin SF 1","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Gr Liv Area","SalePrice","Prediction (SalePrice)LR","Prediction (SalePrice)PR"
0,1058,1058,1058,816,1874,220000,204412.48678019235,197098.52075781333
888,228,1116,1116,0,1116,167900,163642.85232753484,159483.58806141178
0,1064,1064,1350,0,1350,165000,160132.75639751204,143077.9064495539
828,174,1002,1002,0,1002,148500,145492.36560030258,141331.50141301076
726,138,864,864,0,864,76500,122837.61892099935,121406.90348547982
765,0,765,765,600,1365,125000,160627.38612251502,151450.7826977763
0,630,630,630,672,1302,112000,129164.23465724685,132912.05226084072
958,0,958,958,0,958,143750,142049.3431099409,139481.9263232246
389,466,855,855,601,1456,137900,165194.95646966476,154561.27027443892
320,484,804,804,744,1548,147000,168352.59941932443,162338.24928865783
279,576,855,855,601,1456,138000,162636.37378176855,152259.94243652988
644,220,864,1120,0,1120,148800,143117.48142152553,127783.95907998184
1767,788,3094,2402,0,2402,555000,410392.05905042845,416614.6388341228
0,1566,1566,1600,0,1600,256300,212072.5935855364,215440.415668939
986,379,1365,1365,1325,2690,398800,316099.60870046006,339651.0171331614
1232,788,2020,2020,0,2020,404000,304507.62536206614,328311.8925153238
0,1709,1709,1717,0,1717,255500,230836.3157729888,242774.20420732987
1088,625,1713,1713,0,1713,274900,256037.5665843876,267736.0627416986
1142,632,1774,1808,0,1808,324000,269205.6707263631,284290.6641535391
1170,292,1462,1462,762,2224,350000,286374.53869342146,295142.98692831007
836,522,1358,1358,0,1358,213000,198000.75167975333,194507.8293149477
881,425,1306,1306,0,1306,184500,191404.8603795441,188281.20810113722
1557,643,2200,2200,0,2200,382500,338522.17342877074,385440.21878897835
800,1084,1884,1884,0,1884,320000,274471.0761659197,280700.4239217351
0,1405,1405,1405,0,1405,173000,185463.24360261287,182678.512996858
567,197,764,764,862,1626,173000,178334.01406416972,176312.7990809317
0,745,745,745,745,1490,167800,152323.77771304402,150611.98673306656
16,1357,1373,1555,0,1555,192500,196905.9632190041,188643.65755714907
16,1330,1346,1504,0,1504,181000,190857.65118704445,182111.87800815882
16,1204,1220,1220,0,1220,180000,158645.43800127273,151670.80314321624
353,55,408,779,640,1419,184100,134157.97556620347,128324.53465504301
904,410,1314,1314,0,1314,207500,193115.61894712283,190628.93670880055
0,982,982,1007,793,1800,179000,193437.6758276843,185015.11278528153
913,264,1177,1223,1089,2312,245000,270527.22691194614,276706.1974540819
772,220,992,1022,1038,2060,214000,234299.12819779784,235599.4801043867
1163,89,1252,1268,1097,2365,337000,285450.85914147855,300344.82120138407
854,371,1225,1276,1336,2612,336000,297816.15858356137,316351.551570341
0,1264,1264,1277,1067,2344,265000,257331.68266959538,261235.81720941112
816,254,1070,1094,967,2061,260000,240180.19482673236,239078.91533789638
0,1468,1468,1468,0,1468,244600,194722.52832824856,194240.18262623693
0,1696,1696,1696,0,1696,275000,228232.3206686445,239464.1639877922
1294,408,1702,1702,0,1702,275500,259212.3936558881,280834.70768315415
379,1043,1422,1432,0,1432,245000,197643.94741504392,189758.39667319885
27,1191,1218,1218,0,1218,208300,158607.35072321678,151444.47297709982
936,364,1300,1314,0,1314,229456,193015.67592018965,190690.38125116023
1121,645,1766,1766,0,1766,370878,264594.6983821643,278890.00767006056
765,252,1017,1026,981,2007,310000,231104.4582779071,230461.46472382967
682,218,900,909,886,1795,270000,203834.5283480626,199380.560870744
812,280,1092,1112,438,1550,241000,197627.17502415663,184312.35814373137
1430,222,1652,1662,0,1662,291000,255893.77989300317,283925.9105531833
0,1114,1114,1114,0,1114,159000,142694.1665365813,135886.52073114252
20,1434,1454,1434,0,1434,189000,191396.733728054,190263.89466688762
0,626,626,626,591,1217,120000,121632.89694593527,124778.54443650265
544,480,1024,1020,0,1020,124100,141773.29678738408,135354.97858582353
594,270,864,1144,0,1144,131400,144034.53644020794,127655.54601192071
0,612,612,612,612,1224,164500,121375.43094480669,125741.83795704687
294,318,612,612,612,1224,173733,128213.82467427486,130021.36555821367
649,321,970,983,756,1739,172500,202557.91899274808,192907.51488733012
121,1619,1740,1740,0,1740,241600,237513.56365593302,246081.93343632598
0,1442,1442,1442,0,1442,185000,190901.23621925604,189414.11882212711
859,216,1107,1107,983,2090,200000,245646.63639515586,246967.95233306446
560,150,752,1285,782,2067,206000,215398.69821495426,191436.8564388507
593,130,723,735,660,1395,162000,156637.15407419496,149963.13642100984
0,932,932,1271,1369,2640,256900,262678.607755051,271274.07794848474
686,664,1350,1334,0,1334,167900,191949.29500008898,186000.91674675065
144,379,1650,1680,0,1680,213250,218150.69454776426,230222.7925495956
643,167,810,810,855,1665,227000,186262.4587382647,182530.72500097193
648,216,864,864,0,864,130000,121023.35119685472,119544.03286506946
338,121,925,925,0,925,117500,118944.9667199033,118004.12611335958
0,1584,1584,1776,0,1776,110000,228411.74724164692,230656.99613674555
196,975,1516,1516,0,1516,167000,203498.28688595654,202528.14074155627
310,491,1313,1313,0,1313,153000,174940.74538538745,172881.70277016392
998,294,1292,1292,0,1292,145100,192068.64313784192,191656.35384761053
991,50,1041,1041,0,1041,124500,155015.65811040124,152391.50820488718
568,640,1208,1576,0,1576,174500,201615.25413792845,183301.9041326151
280,140,420,708,0,708,82500,72168.38350852483,83723.14159393079
1024,481,1505,1505,0,1505,149500,223978.59978494418,228470.0741921046
504,546,1050,1050,0,1050,128900,145010.8697166111,137654.72699896686
120,736,856,1112,556,1668,140000,177414.73083106766,156976.20501719415
1312,141,1453,1453,0,1453,187500,223034.85024072393,237920.8245009809
585,630,1215,1215,0,1215,155000,171145.4245833676,162770.31984047894
172,727,1382,1382,0,1382,153000,182110.55353666318,180945.79243278754
155,295,1200,1200,0,1200,144000,152769.8317010377,153158.69391379436
1213,84,1297,1297,0,1297,153000,197804.3731676622,203994.72404834593
428,0,608,1319,0,1319,123000,138421.92808074158,112212.15065254929
0,1005,1005,1005,0,1005,115000,126674.13423349729,121616.42639903803
700,93,793,793,0,793,113000,111797.79609993314,113208.38272202323
440,538,978,1014,685,1699,95000,194779.54160562548,181661.2917707514
699,0,699,801,726,1527,152500,169033.1508101796,158985.6233792223
390,810,1200,1200,0,1200,129900,164405.16367166425,154920.1913595358
0,660,660,808,704,1656,135000,143650.31788702644,140053.0272395714
0,768,768,792,0,792,109500,93921.63408184068,98218.46802802777
0,560,560,930,760,1690,156500,158487.03163301098,150142.08709285661
315,420,840,840,534,1374,105000,154662.09412777328,145170.93476317552
0,630,630,725,0,725,78500,79792.86416689784,89522.23040947223
0,1248,1248,1248,1296,2544,190000,273483.6640571619,289631.70715082716
384,996,1380,1380,0,1380,154000,190720.70383206278,182368.5284755308
1270,208,1478,1478,0,1478,157500,225732.25618636963,239490.92297054757
0,160,160,1142,0,1142,113500,87590.73656009707,90853.82463623983
0,0,0,1040,0,1040,90000,69101.8734238497,90128.82569305447
433,0,528,1183,0,1183,138000,122626.14588603305,101423.1369299562
941,0,941,941,0,941,145000,139155.38863726042,136657.26774480994
0,894,894,894,0,894,109500,110360.15638356774,109191.93981449041
0,240,240,810,496,1306,130000,106158.9777042697,111360.50924357689
0,600,600,1101,600,1701,94550,162004.08315230563,143240.7685694464
0,651,651,707,682,1389,135000,137961.32187986723,137197.43580312052
384,384,768,768,560,1328,129500,148777.44187839545,140878.26463584843
0,861,861,861,0,861,80000,105510.05486061568,105935.56887429507
312,408,720,720,564,1284,110000,140390.9263383824,135167.45170803575
0,917,917,1090,917,2007,160000,207340.8768117751,198902.38875627736
216,700,916,916,826,1742,168000,189423.6945912849,182864.35183391464
247,310,1022,1022,0,1022,85000,131092.9057556859,129558.47318967553
1088,0,1088,1188,561,1869,124900,216358.6204151141,207559.3235741636
0,972,972,1044,0,1480,119000,111432.14448032124,106768.27296336928
495,225,720,720,0,720,34900,96300.5159035356,102837.24004053566
0,698,698,786,390,1176,134900,122611.74198142505,115832.35527922845
405,740,1145,1301,0,1301,100000,170190.86524470773,155376.5081044985
0,844,844,1445,689,2134,214500,214161.52211363203,187773.97351487284
0,728,728,1136,883,2019,167500,197015.61782601947,183822.9652096188
299,611,910,916,910,1826,155000,198193.047982527,194377.80703366402
0,672,672,1272,672,1944,179900,187338.26987961278,164192.3558110203
0,1040,1040,1088,1040,2128,62500,225128.70131010268,225242.8584535757
152,628,780,848,0,1208,103000,89301.3546727235,88797.6220471027
0,483,483,741,686,1427,123000,131119.84570622563,131539.03077422598
749,46,858,892,0,892,70000,124919.27353024528,121133.87704026398
276,160,698,754,649,1403,116000,146304.8159196587,141538.90137304593
226,192,918,918,765,1683,172500,180608.3772399088,176725.87272510695
450,414,864,899,0,899,130000,119451.30445172696,115767.92646333222
456,0,456,1034,0,1034,149900,106687.03870937352,92975.16698373824
685,173,858,858,0,858,134900,121002.12873315583,119763.98508675268
672,168,840,860,0,860,137000,119787.61348214182,117916.55873488187
0,0,0,1733,0,1733,139600,129163.23486694288,130812.19372034335
0,0,0,1383,0,1383,122000,98829.21393608775,106962.76069840766
0,1436,1436,1689,0,1689,127500,211946.56328016607,205644.42352120182
0,0,0,845,0,845,84000,52201.490333801834,84593.09320942315
70,0,520,1338,0,1338,156500,124213.90708027611,103835.6149004928
1441,55,1496,1496,636,2132,316600,286874.113378325,307023.7573223839
513,227,740,1006,769,1775,213000,188632.3865323554,173178.7656948861
0,0,0,1535,0,1535,118964,112002.84588320198,116676.06540438524
0,0,0,1513,0,1513,113722,110096.13599611967,115201.21926985697
20,846,866,866,902,1768,212000,184030.96556888463,182562.74114084276
24,1474,1498,1498,0,1498,237000,199689.94775374598,199711.69163649582
0,704,704,704,718,1422,173000,143983.41179683618,143827.1332092839
1518,0,1518,1644,0,1644,275000,248299.85562746422,274354.03377226595
385,70,799,827,834,1661,212000,176441.6496554204,172496.41619511505
746,244,990,990,0,990,138000,141821.38522461554,137182.60088450866
0,831,831,831,829,1660,195000,172164.0475345658,169302.87674525607
666,278,944,944,896,1840,230000,210006.37084751535,205806.90190710366
616,424,1040,1040,0,1040,124000,146146.24435551395,139636.37557288716
532,364,1040,1040,0,1040,150500,143007.9179361954,137420.10387308485
460,404,864,864,0,864,133500,116650.50078481383,115186.81041240497
660,108,768,768,0,768,133900,107193.08305967384,109964.6568752476
0,1068,1068,1068,1116,2184,254750,231598.68346857,237182.16267124625
904,536,1440,1476,677,2153,313000,272787.7573959087,269380.0926186892
0,944,944,944,926,1870,211000,197086.96255984931,194941.02681975527
1246,216,1462,1513,0,1513,220000,227242.55578157303,238349.22061907977
690,814,1504,1504,0,1504,203000,216062.83957736366,212014.13617649698
1360,462,1822,1828,0,1828,279500,278904.28786674654,307441.3798264909
1111,306,1417,1417,0,1417,210000,213068.60203143855,218660.70712175593
0,880,880,909,807,1716,191000,179993.22934801088,173706.17609340348
0,1630,1630,1630,0,1630,213000,218532.1176227404,225882.66482527653
0,0,0,1126,0,1126,108000,76555.37570971696,93576.1748772122
0,0,0,495,1427,1922,198500,144192.1400615189,225079.0468802645
631,410,1041,1125,0,1125,125000,153922.27979160054,143589.34752034067
0,0,0,1088,441,1529,98000,111065.17708553851,122305.07067981745
0,0,0,944,0,944,82000,60781.68482567227,86986.59302867972
626,94,720,854,444,1298,122000,149021.52592349143,134284.12419489666
264,712,976,1160,448,1608,137450,182902.81070655774,161660.56236438284
0,600,600,628,600,1228,137000,121009.82058003565,124410.98164502926
428,300,728,976,332,1308,160000,145871.26815678028,127367.11026494174
713,163,876,964,0,964,163500,131925.75379637803,124779.98792138771
275,429,704,860,704,1564,174500,162700.07310408814,152638.43405624395
0,1092,1092,1152,0,1152,158500,144660.88339514082,135433.27618559377
471,90,561,561,668,1229,137000,129635.61291107183,133397.51181610618
0,561,561,561,668,1229,121000,118680.22703835243,127774.6401226681
454,118,572,1182,800,1982,208000,195040.00748497434,173976.32670404162
803,581,1803,2365,0,2365,315000,307897.2668751743,314241.86044084444
0,760,760,928,928,2168,123000,172873.92602000883,173432.56202558498
0,1013,1013,1013,0,1526,85000,108280.57874827941,106882.46761906875
111,354,819,1344,0,1344,137500,144508.17735662317,125809.61817178804
1115,526,1641,1641,0,1641,316500,246083.5426486122,257285.64911258558
16,1450,1466,1466,0,1466,201000,194800.7402632788,193768.74054103123
1640,338,1978,1978,0,1978,425000,307824.7846661424,361253.1605079429
532,476,1008,1008,0,1008,139500,139489.28882613665,133175.4517199895
866,338,1204,1204,0,1204,162000,176064.73985116102,171747.66873310023
883,341,1224,1224,0,1224,165000,179399.61264410985,175537.86291604844
462,0,462,526,462,988,91000,102764.12014226272,109302.73196926047
510,354,864,874,0,874,130000,118680.17922798594,116539.62304160098
0,546,546,798,546,1344,97000,127858.09979920539,121995.13475710222
273,0,546,546,546,1092,88000,110121.92786366641,116106.68127962266
720,0,796,796,0,796,131900,112078.75868504794,112633.98457310344
625,208,833,833,0,833,112000,115932.2188405518,115728.90144515036
732,64,796,796,566,1362,143000,161501.43414411563,151428.6601466757
330,294,624,624,663,1287,130000,135186.6520117744,136428.43401035081
1567,0,1567,1567,0,1567,196000,245721.00627831768,279195.22521821357
828,115,943,943,695,1638,192000,196397.4583788049,186837.19776305457
138,778,916,916,720,1636,173000,178522.94117000737,169232.77248799696
450,898,1348,1384,0,1384,177900,190672.7954195878,181005.52329304282
504,332,836,851,858,1709,185000,188407.82688146774,183740.74857331475
767,461,1228,1228,0,1228,189000,177289.36199420132,171319.23191084736
16,1152,1168,1168,1332,2500,355000,265183.9759397125,283007.0804377143
0,1488,1488,1488,0,1488,133000,197661.98379670433,198003.0037326421
588,606,1422,1422,0,1422,175500,199763.1104472417,196275.1845551519
747,513,1260,1260,0,1260,181900,181527.29389138578,175373.39994712395
1206,656,2048,2064,0,2064,235000,307874.82650856953,333039.3359739998
864,469,1782,1782,0,1782,220000,257275.147522894,268884.33239713364
890,273,1211,1211,0,1211,161000,177256.95227477746,173692.56456151736
0,896,896,896,896,1792,133000,187460.6225401405,185115.97670022352
119,132,864,864,0,864,123000,103676.54529264511,108501.0577083285
600,264,864,864,0,864,111250,119906.87875122725,118410.1634238037
387,96,483,483,504,987,85400,102159.57344264441,112934.08437244545
358,125,483,483,504,987,89500,101485.0380067445,112762.12496492942
350,280,630,630,672,1302,111750,137305.17957328042,138109.18164910068
378,677,1055,1055,0,1055,148500,142814.99341395297,134972.15651551902
340,524,864,892,0,892,110000,116286.04134521361,113198.72041967085
1280,402,1682,1742,590,2332,426000,311723.14054114633,327071.25233852235
1330,122,1452,1476,1237,2713,446261,331424.1754382331,363439.0728571243
1420,430,1850,1850,898,2748,390000,360873.0680283211,392696.47184260737
1249,165,1414,1414,917,2331,379000,294444.2154288668,309705.5240614925
40,908,948,948,1140,2088,250000,216949.66187885683,224896.43136088646
1540,162,1702,1702,0,1702,367294,264934.3149397288,302235.145250613
1204,596,1800,1800,0,1800,370967,271522.33961576986,290575.67307717557
846,496,1342,1342,0,1342,234250,195881.78573116113,192405.03981684364
1073,342,1415,1455,0,1455,195000,215357.52771437843,218608.2612509619
1087,306,1393,1576,0,1576,219990,224843.37876175359,225097.53712965277
16,1330,1346,1504,0,1504,191000,190857.65118704445,182111.87800815882
0,1266,1266,1266,0,1266,159895,165034.0280968452,158874.7023590919
0,847,847,847,1139,1986,213000,201089.29649528512,211861.67386202182
724,64,788,788,702,1490,184000,171797.7058083433,163973.2280141074
655,490,1145,1145,1053,2198,250000,252750.32545604467,254728.77310141895
0,1519,1519,1533,639,2172,291000,258207.5794823839,256866.16033823916
1660,322,1982,2006,0,2006,350000,310957.9197617227,366127.69141145214
228,0,1080,1108,1089,2197,287500,231769.5508014351,239131.0277901167
0,1580,1580,1580,0,1580,235128,211183.47895160093,215844.89494692368
1096,482,1578,1578,0,1578,240000,236382.32091324896,245275.25593840738
729,226,955,955,919,1874,297900,215060.03739320353,212003.31487339793
0,1026,1026,1026,932,1958,250000,209653.059359601,206756.29980261734
0,1660,1660,1660,0,1660,256000,222941.30082542403,232011.25182357902
680,400,1080,1080,0,1080,141000,153513.7852199288,146943.37551547008
80,200,835,835,861,1696,188000,172790.5570322862,175899.71880967863
80,1095,1175,1175,0,1175,146000,153520.2931247505,145509.87620539643
362,392,754,754,855,1609,182000,171495.96765114443,170541.79343099735
472,355,827,827,850,1677,190500,184354.95498300175,180368.2438083847
397,439,836,844,893,1737,175000,188312.59801412356,185441.3622739445
165,598,1604,1617,0,1617,193000,212757.5848294102,220521.46267950488
300,899,1199,1199,0,1199,153900,162164.80506268993,152677.15211154218
890,0,890,890,0,890,115000,130473.525219219,128596.8763828311
489,375,864,864,0,864,119916,117325.03622071378,115842.11715772562
704,226,930,1364,1319,2683,290000,282707.0332186629,283594.9818986524
510,90,600,624,628,1252,160000,134925.8695589573,133687.65937102385
600,72,672,684,720,1404,170000,154447.65531878333,150806.7693565049
681,177,858,872,917,1789,223000,200729.12363643877,197815.67039591458
813,147,960,962,645,1607,200000,194434.3569911708,183651.1909123385
128,0,970,1469,924,2393,345000,240035.68576763774,226552.15447840712
660,572,1232,1232,0,1232,162500,175388.44992784792,167861.3467648089
1044,0,1426,1671,0,1671,290000,230924.54786711413,229677.9625287317
656,602,1258,1258,0,1258,145000,179116.70266637148,171608.67559659627
0,1625,1625,1625,0,1625,140500,217797.25375562644,224868.77855461696
260,196,912,925,0,925,135000,116429.00206667329,116383.16135131172
231,1497,1728,1728,0,1728,142600,238308.47306275583,242604.12269435136
442,459,901,943,933,1876,185000,205288.117193455,201027.7823276074
776,344,1120,1128,0,1128,155000,162318.99009794337,156174.22114106786
0,1114,1114,1114,0,1114,140000,142694.1665365813,135886.52073114252
0,1252,1252,1252,0,1252,142000,162976.40926892616,156617.79230077704
0,270,270,729,0,729,52000,58430.047502783156,79320.96324980423
851,140,991,1077,0,1077,118000,151864.14375871563,143710.40590916213
120,228,348,453,453,906,87000,80836.27760881625,102859.31207100855
280,752,1032,1032,220,1252,119000,156013.89894844923,142342.38331941245
288,700,1362,1362,0,1362,163000,182765.84023335073,179438.61266416413
0,1319,1319,1537,0,1537,174000,191717.3466966142,181230.536978783
148,572,720,882,0,882,116000,102269.66877477817,99364.53840094231
500,456,1152,1152,0,1152,137500,158296.81761487623,152010.71770221644
0,998,998,1790,0,1790,180000,194286.8807545014,167229.11690637114
852,100,952,952,0,952,139000,138701.96315197684,135478.0202489271
442,390,832,832,384,1216,118500,144445.77512948596,133877.9103035247
0,672,672,672,0,672,86900,77732.2006837086,91464.69081393733
0,892,892,1254,182,1436,139000,157041.5798412003,134238.55657281732
319,539,858,858,858,1716,171000,186038.1275441147,181775.35761393135
697,384,1081,1081,0,1081,148000,154056.17531784464,147642.03866166173
520,188,1027,1027,0,1027,125900,139378.657680658,134722.50698917772
673,181,854,854,424,1278,127500,156481.0623165894,144813.9573385924
370,398,768,1024,564,1588,150000,170981.8599296159,151660.29082632816
0,680,680,764,0,764,73000,86188.14789449611,92541.66987096738
104,516,789,789,0,789,115000,95956.89686837804,102190.3438922207
308,620,928,928,0,928,112500,122521.26220605207,118452.53288429932
0,876,876,876,540,1416,153900,154004.29057942703,143735.63599460828
0,572,572,884,656,1540,129400,146308.88173191366,137273.64638761964
0,1237,1237,1521,1254,2775,325000,292880.54916553834,295429.09893347695
0,723,723,723,363,1086,55000,116344.73956279198,113609.65642518346
0,1050,1050,1050,745,1795,131500,197150.4736069946,187744.23183086608
0,0,0,882,0,882,97000,55408.229689349384,85382.52428035077
0,672,672,1195,473,1668,108000,163606.19420190534,139792.73987489287
175,849,1024,1144,594,1738,153000,194855.93366348528,177033.36098587167
521,460,981,1014,658,1672,164900,194530.01907832362,181134.9072968422
0,949,949,949,0,949,119000,118443.65892182113,115070.87412329085
0,992,992,1013,0,1013,113000,126583.52943485233,120754.22463456457
0,0,0,808,0,808,81300,48994.75097825428,83933.70684198842
0,1078,1078,1128,445,1573,162900,179882.67387023373,164137.2121102401
0,952,952,1022,752,1774,129900,189413.99693999585,178522.86138033072
0,611,611,751,611,1362,128000,133276.3449805455,129456.61143270513
329,697,1026,1133,687,1820,184000,205577.30814316886,189574.57185082245
