"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income","age-bin","Prediction (income)"
17,"Private",98005,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,16,"United-States","<=50K","34 or less","<=50K"
17,"Federal-gov",99893,"11th",7,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,1602,40,"United-States","<=50K","34 or less","<=50K"
17,"Private",452406,"11th",7,"Never-married","Sales","Own-child","Black","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
17,"Private",151799,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",99175,"11th",7,"Never-married","Other-service","Not-in-family","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,"Private",231438,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,12,"United-States","<=50K","34 or less","<=50K"
17,,48703,"11th",7,"Never-married",,"Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less","<=50K"
17,,187539,"11th",7,"Never-married",,"Own-child","White","Female",0,0,10,"United-States","<=50K","34 or less","<=50K"
17,,219277,"11th",7,"Never-married",,"Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
17,,41643,"11th",7,"Never-married",,"Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",226956,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,30,,"<=50K","34 or less","<=50K"
18,"Private",25828,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less","<=50K"
18,"Private",183930,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less","<=50K"
18,"Private",214617,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less","<=50K"
18,"Private",675421,"9th",5,"Never-married","Handlers-cleaners","Own-child","White","Male",594,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Local-gov",134935,"12th",8,"Never-married","Protective-serv","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",80616,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,27,"United-States","<=50K","34 or less","<=50K"
18,,297396,"HS-grad",9,"Never-married",,"Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less","<=50K"
18,"Private",43272,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",304169,"11th",7,"Never-married","Sales","Own-child","White","Male",0,0,35,"United-States","<=50K","34 or less","<=50K"
18,"Private",107277,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,,298133,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",148644,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,28,"United-States","<=50K","34 or less","<=50K"
18,,437851,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",152182,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",167147,"12th",8,"Never-married","Sales","Own-child","White","Male",0,0,24,"United-States","<=50K","34 or less","<=50K"
18,"Private",301948,"HS-grad",9,"Never-married","Protective-serv","Own-child","White","Male",34095,0,3,"United-States","<=50K","34 or less",">50K"
18,,30246,"Some-college",10,"Never-married",,"Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,,23233,"10th",6,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Self-emp-inc",38307,"11th",7,"Never-married","Farming-fishing","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",71792,"HS-grad",9,"Never-married","Sales","Own-child","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",84253,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,24,"United-States","<=50K","34 or less","<=50K"
18,,128538,"Some-college",10,"Never-married",,"Own-child","White","Female",0,0,6,"United-States","<=50K","34 or less","<=50K"
18,"Private",214617,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",118376,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",716066,"10th",6,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",116528,"Some-college",10,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",120544,"9th",5,"Never-married","Other-service","Own-child","Black","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,,215463,"12th",8,"Never-married",,"Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Self-emp-inc",119422,"HS-grad",9,"Never-married","Other-service","Unmarried","Asian-Pac-Islander","Female",0,0,30,"India","<=50K","34 or less","<=50K"
18,,85154,"12th",8,"Never-married",,"Own-child","Asian-Pac-Islander","Female",0,0,24,"Germany","<=50K","34 or less","<=50K"
18,,97318,"HS-grad",9,"Never-married",,"Own-child","White","Female",0,0,35,"United-States","<=50K","34 or less","<=50K"
18,"Private",178142,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",160984,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"State-gov",342852,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",130652,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",301867,"HS-grad",9,"Never-married","Sales","Own-child","Amer-Indian-Eskimo","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,,179484,"12th",8,"Never-married",,"Own-child","Other","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",118376,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",198087,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",282394,"Some-college",10,"Never-married","Sales","Own-child","Black","Female",0,0,21,"United-States","<=50K","34 or less","<=50K"
18,,36348,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,48,"United-States","<=50K","34 or less","<=50K"
18,"Private",91525,"HS-grad",9,"Never-married","Sales","Other-relative","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",100875,"11th",7,"Never-married","Other-service","Unmarried","White","Female",0,0,28,"United-States","<=50K","34 or less","<=50K"
18,"Private",333611,"5th-6th",3,"Never-married","Other-service","Other-relative","White","Male",0,0,54,"Mexico","<=50K","34 or less","<=50K"
18,"Private",270502,"11th",7,"Never-married","Exec-managerial","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,,184101,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",256005,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",165532,"12th",8,"Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",126142,"10th",6,"Never-married","Craft-repair","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",115443,"11th",7,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",177648,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",400616,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"State-gov",109445,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,,234648,"11th",7,"Never-married",,"Own-child","Black","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",447882,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",53109,"11th",7,"Never-married","Other-service","Own-child","Amer-Indian-Eskimo","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,,171088,"Some-college",10,"Never-married",,"Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",294253,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,27,"United-States","<=50K","34 or less","<=50K"
18,,28311,"11th",7,"Never-married",,"Own-child","White","Female",0,0,35,"United-States","<=50K","34 or less","<=50K"
18,"Private",184016,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,,266287,"Some-college",10,"Never-married",,"Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",362302,"12th",8,"Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",95917,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,25,"Canada","<=50K","34 or less","<=50K"
18,"Private",205894,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,0,25,,"<=50K","34 or less","<=50K"
18,"State-gov",76142,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,8,"United-States","<=50K","34 or less","<=50K"
18,"Private",311795,"12th",8,"Never-married","Sales","Own-child","Black","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",338632,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less","<=50K"
18,"Private",378707,"10th",6,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Local-gov",152171,"11th",7,"Never-married","Protective-serv","Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less","<=50K"
18,"Private",133654,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",90934,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,0,28,"United-States","<=50K","34 or less","<=50K"
18,"Private",271935,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",210574,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",212936,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",245199,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,,184416,"10th",6,"Never-married",,"Own-child","Black","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",210932,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",188616,"11th",7,"Never-married","Sales","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",173585,"HS-grad",9,"Never-married","Sales","Own-child","Black","Female",0,0,18,"United-States","<=50K","34 or less","<=50K"
18,"Private",141363,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",170183,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",219841,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less","<=50K"
18,,211177,"12th",8,"Never-married",,"Other-relative","Black","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",115443,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Self-emp-not-inc",230373,"11th",7,"Never-married","Other-service","Own-child","White","Female",594,0,4,"United-States","<=50K","34 or less","<=50K"
18,"Private",139576,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",25837,"11th",7,"Never-married","Prof-specialty","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",184277,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",108892,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less","<=50K"
18,"Private",25837,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",111256,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",54440,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",110142,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",60981,"Some-college",10,"Never-married","Sales","Own-child","White","Female",2176,0,35,"United-States","<=50K","34 or less","<=50K"
18,"Private",96445,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,24,"United-States","<=50K","34 or less","<=50K"
18,"Private",201871,"12th",8,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",77845,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,1602,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",478380,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",62972,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,16,"United-States","<=50K","34 or less","<=50K"
18,,113185,"11th",7,"Never-married",,"Own-child","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",157131,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,,387871,"10th",6,"Never-married",,"Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
18,,312634,"11th",7,"Never-married",,"Own-child","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",194561,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less","<=50K"
18,"Private",251923,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K","34 or less","<=50K"
18,"Private",128538,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
18,"Private",225859,"Some-college",10,"Never-married","Transport-moving","Own-child","White","Male",2907,0,30,"United-States","<=50K","34 or less","<=50K"
18,"Private",261720,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",218889,"9th",5,"Never-married","Other-service","Own-child","Black","Male",0,0,35,"United-States","<=50K","34 or less","<=50K"
18,"Private",217743,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
18,"Private",41973,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,5,"United-States","<=50K","34 or less","<=50K"
18,"Private",36162,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,5,"United-States","<=50K","34 or less","<=50K"
18,"Private",180039,"12th",8,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
18,"Private",347336,"12th",8,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K","34 or less","<=50K"
18,"Private",200047,"12th",8,"Never-married","Adm-clerical","Own-child","White","Male",0,0,35,"United-States","<=50K","34 or less","<=50K"
19,"Private",101509,"Some-college",10,"Never-married","Prof-specialty","Own-child","White","Male",0,0,32,"United-States","<=50K","34 or less","<=50K"
19,,860348,"Some-college",10,"Never-married",,"Own-child","Black","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
19,"Private",232392,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,"Private",262601,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,14,"United-States","<=50K","34 or less","<=50K"
19,"State-gov",378418,"HS-grad",9,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,,117201,"HS-grad",9,"Never-married",,"Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
19,"Private",354104,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
19,"Private",129059,"Some-college",10,"Never-married","Sales","Own-child","Black","Male",0,0,30,"United-States","<=50K","34 or less","<=50K"
19,"Private",130431,"5th-6th",3,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,36,"Mexico","<=50K","34 or less","<=50K"
19,"Private",383637,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
19,"Private",25429,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
19,"Private",182355,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
19,"Private",306467,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K","34 or less","<=50K"
19,,174233,"Some-college",10,"Never-married",,"Own-child","Black","Male",0,0,24,"United-States","<=50K","34 or less","<=50K"
19,"State-gov",73009,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,15,"United-States","<=50K","34 or less","<=50K"
19,"Private",246652,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,,208874,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,"Private",236396,"11th",7,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,,124884,"9th",5,"Never-married",,"Not-in-family","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
19,"Private",386378,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K","34 or less","<=50K"
19,"Private",291429,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States","<=50K","34 or less","<=50K"
19,"Local-gov",169853,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,"State-gov",156294,"Some-college",10,"Never-married","Prof-specialty","Own-child","White","Male",0,0,25,"United-States","<=50K","34 or less","<=50K"
19,"Private",63363,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,30,"United-States","<=50K","34 or less","<=50K"
19,"State-gov",165289,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,"Private",167140,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,1602,24,"United-States","<=50K","34 or less","<=50K"
19,"Private",141868,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
19,"State-gov",112432,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,10,"United-States","<=50K","34 or less","<=50K"
19,,263224,"11th",7,"Never-married",,"Unmarried","White","Female",0,0,30,"United-States","<=50K","34 or less","<=50K"
19,"Private",131615,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","<=50K","34 or less","<=50K"
